	Length [in]	Value [psi]	
1	0.	6.2656	
2	6.8961e-003	-250.63	
3	1.3792e-002	-507.75	
4	2.0688e-002	-765.08	
5	2.7585e-002	-1022.6	
6	3.4481e-002	-1280.4	
7	4.1377e-002	-1538.4	
8	4.8273e-002	-1796.6	
9	5.5169e-002	-2055.	
10	6.2065e-002	-2313.6	
11	6.8961e-002	-2572.5	
12	7.5858e-002	-2831.6	
13	8.2754e-002	-3090.9	
14	8.965e-002	-3350.4	
15	9.6546e-002	-3610.1	
16	0.10344	-3870.	
17	0.11034	-4129.3	
18	0.11723	-4396.	
19	0.12413	-4663.	
20	0.13103	-4930.4	
21	0.13792	-5198.1	
22	0.14482	-5466.2	
23	0.15172	-5734.6	
24	0.15861	-6003.3	
25	0.16551	-6272.3	
26	0.1724	-6541.7	
27	0.1793	-6811.4	
28	0.1862	-7081.4	
29	0.19309	-7351.7	
30	0.19999	-7620.	
31	0.20688	-7888.5	
32	0.21378	-8157.1	
33	0.22068	-8426.	
34	0.22757	-8695.1	
35	0.23447	-8964.3	
36	0.24136	-9233.8	
37	0.24826	-9503.5	
38	0.25516	-9773.3	
39	0.26205	-10043	
40	0.26895	-10314	
41	0.27585	-10584	
42	0.28274	-10854	
43	0.28964	-11125	
44	0.29653	-11396	
45	0.30343	-11667	
46	0.31033	-11939	
47	0.31722	-12210	
48	0.32412	-12482	
49	0.33101	-12753	
